fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,erbi
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,926,162,2.7,0,150012
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Pneumonia,Not Admitted,106,276,4.6,0,29256
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Trauma,Not Admitted,6290,156,2.6,0,981240
2021-2022,2021,CTAS II - Emergent,2,Not Seen Or Left,Unintentional Falls,Not Admitted,1728,180,3.0,0,311040
2021-2022,2021,CTAS II - Emergent,2,Transferred,Acute Myocardial Infarction,Not Admitted,4487,138,2.3,0,619206
2021-2022,2021,CTAS II - Emergent,2,Transferred,Asthma,Not Admitted,317,348,5.8,0,110316
2021-2022,2021,CTAS II - Emergent,2,Transferred,Influenzal Pneumonia,Not Admitted,0,462,7.7,0,0
2021-2022,2021,CTAS II - Emergent,2,Transferred,Motor Vehicle Collisions,Not Admitted,2439,228,3.8,0,556092
2021-2022,2021,CTAS II - Emergent,2,Transferred,Pneumonia,Not Admitted,1150,384,6.4,0,441600
2021-2022,2021,CTAS II - Emergent,2,Transferred,Trauma,Not Admitted,14647,276,4.6,0,4042572
2021-2022,2021,CTAS II - Emergent,2,Transferred,Unintentional Falls,Not Admitted,7147,330,5.5,0,2358510
2021-2022,2021,CTAS II - Emergent,2,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Unknown,Asthma,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Unknown,Pneumonia,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Unknown,Trauma,Not Admitted,0,0,0.0,0,0
2021-2022,2021,CTAS II - Emergent,2,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0,0
