fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag
2009-2010,2009,CTAS I - Resuscitation,1,Total,Trauma,Not Admitted,6505,220,3.67,0
2009-2010,2009,CTAS I - Resuscitation,1,Total,Unintentional Falls,Not Admitted,1258,253,4.22,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Acute Myocardial Infarction,Not Admitted,449,87,1.45,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Any,Not Admitted,3160,173,2.88,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Asthma,Not Admitted,23,163,2.72,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Influenzal Pneumonia,Not Admitted,0,152,2.53,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Motor Vehicle Collisions,Not Admitted,344,130,2.17,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Pneumonia,Not Admitted,45,212,3.53,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Trauma,Not Admitted,835,153,2.55,0
2009-2010,2009,CTAS I - Resuscitation,1,Transferred,Unintentional Falls,Not Admitted,161,193,3.22,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Acute Myocardial Infarction,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Any,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Asthma,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Motor Vehicle Collisions,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Trauma,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS I - Resuscitation,1,Unknown,Unintentional Falls,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Admitted,Acute Myocardial Infarction,Admitted,7354,470,7.83,1
2009-2010,2009,CTAS II - Emergent,2,Admitted,Any,Admitted,210379,602,10.03,1
2009-2010,2009,CTAS II - Emergent,2,Admitted,Asthma,Admitted,2911,495,8.25,1
2009-2010,2009,CTAS II - Emergent,2,Admitted,Influenzal Pneumonia,Admitted,223,610,10.17,1
2009-2010,2009,CTAS II - Emergent,2,Admitted,Motor Vehicle Collisions,Admitted,2569,414,6.9,1
2009-2010,2009,CTAS II - Emergent,2,Admitted,Pneumonia,Admitted,10415,690,11.5,1
2009-2010,2009,CTAS II - Emergent,2,Admitted,Trauma,Admitted,13782,464,7.73,1
2009-2010,2009,CTAS II - Emergent,2,Admitted,Unintentional Falls,Admitted,7490,515,8.58,1
2009-2010,2009,CTAS II - Emergent,2,Death,Acute Myocardial Infarction,Not Admitted,111,162,2.7,0
2009-2010,2009,CTAS II - Emergent,2,Death,Any,Not Admitted,912,184,3.07,0
2009-2010,2009,CTAS II - Emergent,2,Death,Asthma,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Death,Influenzal Pneumonia,Not Admitted,0,0,0.0,0
2009-2010,2009,CTAS II - Emergent,2,Death,Motor Vehicle Collisions,Not Admitted,0,511,8.52,0
2009-2010,2009,CTAS II - Emergent,2,Death,Pneumonia,Not Admitted,35,195,3.25,0
2009-2010,2009,CTAS II - Emergent,2,Death,Trauma,Not Admitted,39,315,5.25,0
2009-2010,2009,CTAS II - Emergent,2,Death,Unintentional Falls,Not Admitted,25,344,5.73,0
2009-2010,2009,CTAS II - Emergent,2,Discharged Home,Acute Myocardial Infarction,Not Admitted,291,332,5.53,0
